Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility,Corrected.Mark
vc,hb10,ledx,NA,a55,2020,04/08/2020,3,wv,r,10871965,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10871965
vc,vc23,led2425,NA,k37,2020,07/08/2020,2,wv,r,10505423,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,10505423
vc,hb20,led2425,NA,b23,2020,07/08/2020,2,wv,r,6479878,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,6479878
vc,hb21,led2425,NA,b28,2020,07/08/2020,2,wv,r,6470025,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6470025
vc,hb26,led2425,NA,cl88,2020,07/08/2020,2,wv,r,8673949,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5673949
vc,elb23,cro1015,NA,p52,2020,08/08/2020,3,wv,r,10864801,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,0,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,10864801
vc,gp215,cro1015,NA,a15,2020,08/08/2020,3,wv,r,5674075,NA,,NA,,NA,,,,,,NA,,NA,1,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,5674075
vc,Tag_not_Found,sgi3637,NA,da6,2020,19/08/2020,3,wv,r,5668043,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5668043
elb,lm221,led01,NA,cl18,2020,28/07/2020,2,wv,r,5662705,NA,,NA,,NA,,,,,,NA,,NA,NA,1,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5663705
elb,elb02,led01,NA,cl42,2020,28/07/2020,2,wv,r,5667730,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5667730
elb,vc07,led01,NA,blank,2020,28/07/2020,2,wv,r,10847528,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10847528
elb,elb04,led01,NA,da9,2020,28/07/2020,2,wv,r,5598297,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5598297
elb,elb02,led01,NA,c37,2020,31/07/2020,3,wv,r,5667730,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5667730
elb,vc07,led01,NA,x33,2020,31/07/2020,3,wv,r,10847528,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10847528
elb,vc08,led01,NA,x25,2020,31/07/2020,3,wv,r,10872452,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10872452
elb,lm224,led0708,NA,p26,2020,31/07/2020,3,wv,r,5663820,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5663820
elb,lm231,ledx,NA,p68,2020,03/08/2020,2,wv,r,10872218,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,two voles in one trap,NA,NA,NA,NA,NA,NA,NA,0,10872218
elb,lm232,led2223,NA,b55,2020,03/08/2020,2,wv,r,10864370,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10864370
elb,elb23,cro1015,NA,p52,2020,07/08/2020,2,wv,r,10864801,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10864801
elb,hb20,led2425,NA,b23,2020,08/08/2020,3,wv,r,6479878,NA,,NA,,NA,,,,,,NA,,NA,NA,1,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6479878
elb,vc18,led2425,NA,ab04,2020,08/08/2020,3,wv,r,5598346,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5598346
elb,lm235,led2425,NA,b33,2020,08/08/2020,3,wv,r,10864776,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10864776
elb,lm237,lei18,NA,f28,2020,12/08/2020,2,wv,r,5663128,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5663128
elb,lm237,lei18,NA,x4,2020,13/08/2020,3,wv,r,5663128,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5663128
elb,elb37,sgi30,NA,cl65,2020,18/08/2020,2,wv,r,5806504,NA,,NA,,NA,,,,,,NA,,NA,NA,1,NA,NA,NA,NA,,,recapture of elb37: pit tag had come out so new pit tag inserted,NA,NA,NA,NA,NA,NA,NA,0,5806504
elb,elb39,sgi30,NA,p68,2020,18/08/2020,2,wv,r,6485429,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6485429
elb,vc32,sgi30,NA,aa39,2020,18/08/2020,2,wv,r,5673892,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5673892
elb,vc33,sgi31,NA,p48,2020,19/08/2020,3,wv,r,5673524,NA,,NA,,NA,,,,,,NA,,NA,NA,1,NA,NA,NA,NA,,,escaped,NA,NA,NA,NA,NA,NA,NA,0,5673524
elb,gp226,sgi30,NA,aa39,2020,19/08/2020,3,wv,r,5674869,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,5674861
elb,vc32,sgi30,NA,a54,2020,19/08/2020,3,wv,r,5673892,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,5673892
elb,elb39,sgi30,NA,p68,2020,19/08/2020,3,wv,r,6485429,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,6485429
elb,elb37,sgi30,NA,b66,2020,19/08/2020,3,wv,r,5806504,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,5806504
elb,vc31,sgi30,NA,blank,2020,19/08/2020,3,wv,r,5668931,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,5668931
elb,gp225,sgi30,NA,b28,2020,19/08/2020,3,wv,r,6484273,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,pit tag had come out so new pit tag inserted,NA,NA,NA,NA,NA,NA,NA,0,5674301
gp,,cro0708,NA,cl27,2020,02/08/2020,2,wm,NA,NA,,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
