"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"158",158,158,"vc","","led01",NA,"p63",2020,"2020-07-28",2,"wv","r","5664242",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5664242"
"159",159,159,"vc","","led01",NA,"cl81",2020,"2020-07-28",2,"wv","r","10871987",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","Kinky tail returns!",NA,NA,NA,NA,NA,NA,NA,0,"10871987"
"160",160,160,"vc","","led0708",NA,"cl78",2020,"2020-07-28",2,"wv","r","10875950",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10875950"
"161",161,161,"vc","vc12","led09",NA,"b4",2020,"2020-07-31",3,"wv","n","10877360",NA,"m",95,"bl",3,"head","ns",NA,NA,NA,NA,NA,0,1,2,0,1,0,0,NA,NA,"Very cute with white spot",0,0,0,0,1,2,0,3,"10877360"
"162",162,162,"vc","vc13","led09",NA,"p37",2020,"2020-07-31",3,"wv","n","10864741",NA,"f",220,"bl/br",0,NA,NA,"p","open","Y",2,"N",0,0,4,0,1,0,0,NA,NA,"pretty chill for pregnant female",0,1,1,0,0,2,0,4,"10864741"
"163",163,163,"vc","vc14","led11",NA,"cl33",2020,"2020-07-31",3,"wv","n","5595483",NA,"m",NA,"bl",1,"other","s",NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,"white spot location was a few hairs on head and back. Bit me and escaped before I could get wieght and biopsy ",1,1,1,1,2,2,2,10,"5595483"
"164",164,164,"vc","vc15","led11",NA,"p42",2020,"2020-07-31",3,"wv","n","5663758",NA,"m",55,"bl",1,"other","ns",NA,NA,NA,NA,NA,3,0,0,0,1,0,0,NA,NA,"white spot location was a few hairs on head and back.  ",1,1,1,1,0,2,0,6,"5663758"
"165",165,165,"vc","","led11",NA,"blank",2020,"2020-07-31",3,"wv","r","5675037",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5675037"
"166",166,166,"vc","vc16","led11",NA,"blank ",2020,"2020-07-31",3,"wv","n","6470304",NA,"m",60,"bl",1,"head","ns",NA,NA,NA,NA,NA,5,1,0,0,1,0,0,NA,NA,"",1,0,1,1,0,2,0,5,"6470304"
"167",167,167,"vc","","cro0708",NA,"x4",2020,"2020-08-02",2,"wv","r","5597589",NA,"",230,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","Vole with half tail missing",NA,NA,NA,NA,NA,NA,NA,0,"5597589"
